accession	runtype	species	genome_size
SRX10564380	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX6970325	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX2242068	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10161776	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10700469	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX9443453	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX7847759	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
ERX2765951	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX3015759	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
ERX3836661	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1843326	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX13297688	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX15844992	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX8072089	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX16455790	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10161764	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10155893	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX8023382	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX6459238	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX6459306	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
ERX2657199	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX6970212	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX14748847	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX6607358	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1308737	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX1843180	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX15844997	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10041682	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1308902	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX10161922	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX7180751	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1843690	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
ERX2256903	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10163174	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX11158355	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1962298	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX2243232	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX5242508	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10155954	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX6459239	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10696008	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10164698	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX4743958	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX9190994	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX9206183	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1598010	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX5242314	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX9207777	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX9757834	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX15627847	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX6459303	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX4014488	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX2841775	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX6725565	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX4312424	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10564388	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1598020	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10949341	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1843274	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX1123524	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX6459295	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX4014511	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10100461	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX5242359	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10010836	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX2842492	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX6725528	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX11171133	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX5242797	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1843276	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX5242311	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX5242346	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX7923746	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10810841	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX8448833	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX6459283	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10616308	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX9537660	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX9268268	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX6607406	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
