accession	runtype	species	genome_size
SRX4014428	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX5982042	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX6725508	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX11354453	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
ERX3365554	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX5242362	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
ERX2256913	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1308820	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX1843810	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX10130654	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10012697	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10046545	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1308679	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX1012385	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
ERX2256882	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX8035035	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX4309953	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10130655	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10162073	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10595849	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX8035021	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX7899953	illumina	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	5027649
SRX9841480	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX14748835	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX6459311	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX14597813	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
ERX2746350	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10550629	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX4014498	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX23495191	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX7847751	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX13297677	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX7899907	illumina	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	5027649
SRX2243242	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX8035197	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX7862686	ont	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1843266	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
ERX2256925	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX2407651	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10162057	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX5242891	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX8192004	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1308896	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
ERX2256907	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX9207790	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10175773	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX5242500	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
ERX2765235	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX5981874	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10156662	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX5936442	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX11160726	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX13466464	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX838794	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10162072	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX4014496	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX4014491	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX3041810	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX11179707	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
ERX2256935	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10161908	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10156669	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX3030531	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10609452	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX3447808	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX10155967	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX14041280	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX4014471	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX7845897	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX2374120	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX15627695	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX2243223	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1598030	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX2523256	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10156050	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX2995146	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX2376038	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX2182297	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX1898022	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10156954	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10163193	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX5242902	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX7708657	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1843796	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX6480518	ont	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10163177	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1598033	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10156048	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX6459300	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10582578	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX2242064	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX2941182	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX6459260	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX8004230	ont	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX4312407	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX11912902	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX4743751	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX6459301	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX4014470	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10356212	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX4014479	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1308884	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1662788	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX5242370	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1962254	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX8004221	ont	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10163213	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10155950	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX3061748	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX9190997	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX2941183	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10164705	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX7899954	illumina	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	5027649
SRX7899929	illumina	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	5027649
SRX10949330	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX23602162	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX4743890	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX7899906	illumina	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	5027649
SRX13883220	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX2926150	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10010832	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1843117	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX3041827	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10157189	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
ERX2657670	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10646942	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10194661	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX9823581	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX5243313	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX6459225	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX4014458	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX6944293	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX4014442	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX9835772	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10156661	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1308870	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX10161913	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX6459255	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX8022334	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX2374121	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10563983	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1662450	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX5242372	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX9183262	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX4014484	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1843404	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX10155951	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10075031	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX9582328	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10156043	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX4309962	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX2242058	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10157190	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1843612	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX6459254	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1843383	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX1843334	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX8072243	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX9706875	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10161909	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
ERX2256875	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10131698	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX2558983	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
ERX2256923	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX9206187	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX6459246	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX4892667	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX13166956	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10161763	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10163197	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1598041	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10156668	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX6459286	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10041666	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
ERX2746244	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX9996958	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX13297665	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX4743877	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX8191939	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10646931	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX5604509	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX6459243	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1308904	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX1662694	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
ERX3836674	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1897940	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX7899934	illumina	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	5027649
SRX5242355	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1962242	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX1843416	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX5170960	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10161759	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10564155	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10531824	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1898025	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1843692	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX2657348	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX4014461	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10609421	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX5243243	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX7899923	illumina	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	5027649
SRX5242417	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX6459280	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1662701	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX6827261	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1308900	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1843464	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX9183202	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10161907	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1308876	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX5242792	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1308682	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX5242334	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX13297690	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1843702	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10564379	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX2382669	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX9895328	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX2674490	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX11354620	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX1598000	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX3447820	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX6725492	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1308660	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX6459232	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX8072052	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX5243308	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX2945957	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX4014452	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10155966	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10155891	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX5982046	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10692549	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX7899924	illumina	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	5027649
SRX1308663	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX2959464	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
ERX2256901	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX5242378	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX6459298	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX4014451	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1843499	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX1598032	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1096975	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10331547	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX4014506	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX9996942	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10161768	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX7862692	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX5242306	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX3447756	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX4338969	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX2407688	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1962453	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX1843644	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX5242925	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX8004223	ont	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1843198	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX10163198	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX19944752	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX7899920	illumina	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	5027649
SRX4014497	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX9636256	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10156951	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX8192049	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX2182246	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX4014515	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX2544962	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX11354625	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX5982008	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1843360	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX13297687	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX16455795	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1843286	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX10156941	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX2243231	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX4743857	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1662683	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10161779	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
ERX2256874	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10692556	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10426021	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX4014433	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX9190985	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
ERX2256929	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX4014434	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX3447566	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10012686	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1308855	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX6480529	ont	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX2182267	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX1012435	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10157180	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
ERX3836690	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10161775	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX838830	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX4309979	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX2182262	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX11168434	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1843693	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX15844996	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1662572	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
ERX3836671	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10155955	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10156026	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX19792769	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX2372517	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10950688	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10180665	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10155964	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10426024	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX4014489	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX2935375	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX9190986	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX8035322	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10030561	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10163194	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX9190987	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX4014481	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX6459248	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1598016	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX8035400	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10949331	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX3035887	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1843197	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX3447817	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX5242908	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX3061728	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX2242052	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10157181	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX6983641	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX6459257	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX4014519	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX9299061	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX3447712	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX10156033	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX5243255	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX10162061	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX9206181	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX5242341	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX13297689	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX4014501	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
SRX1308823	illumina	Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	5027649
SRX8035314	illumina	Salmonella enterica subsp. enterica serovar Typhimurium	5027649
