accession	reason
SRX399364	Failed mean read length (100 bp) filter, expected > 249 bp
SRX425114	Failed mean read length (100 bp) filter, expected > 249 bp
SRX399356	Failed mean read length (100 bp) filter, expected > 249 bp
SRX425112	Failed mean read length (100 bp) filter, expected > 249 bp
SRX399260	Failed mean read length (100 bp) filter, expected > 249 bp
SRX425332	Failed mean read length (100 bp) filter, expected > 249 bp
SRX399258	Failed mean read length (100 bp) filter, expected > 249 bp
SRX436224	Failed mean read length (100 bp) filter, expected > 249 bp
SRX399257	Failed mean read length (100 bp) filter, expected > 249 bp
SRX436162	Failed mean read length (100 bp) filter, expected > 249 bp
SRX399255	Failed mean read length (100 bp) filter, expected > 249 bp
SRX436083	Failed mean read length (100 bp) filter, expected > 249 bp
SRX399252	Failed mean read length (100 bp) filter, expected > 249 bp
SRX399250	Failed mean read length (100 bp) filter, expected > 249 bp
SRX436040	Failed mean read length (100 bp) filter, expected > 249 bp
SRX399248	Failed mean read length (100 bp) filter, expected > 249 bp
SRX436036	Failed mean read length (100 bp) filter, expected > 249 bp
SRX399228	Failed mean read length (100 bp) filter, expected > 249 bp
SRX435999	Failed mean read length (100 bp) filter, expected > 249 bp
SRX399226	Failed mean read length (100 bp) filter, expected > 249 bp
SRX435997	Failed mean read length (100 bp) filter, expected > 249 bp
SRX399222	Failed mean read length (100 bp) filter, expected > 249 bp
SRX435987	Failed mean read length (100 bp) filter, expected > 249 bp
SRX399199	Failed mean read length (100 bp) filter, expected > 249 bp
SRX435986	Failed mean read length (100 bp) filter, expected > 249 bp
SRX425327	Failed mean read length (100 bp) filter, expected > 249 bp
SRX441948	Failed mean read length (100 bp) filter, expected > 249 bp
SRX433249	Failed mean read length (100 bp) filter, expected > 249 bp
SRX8939426	Failed mean read length (230 bp) filter, expected > 249 bp
SRX436229	Failed mean read length (100 bp) filter, expected > 249 bp
SRX436226	Failed mean read length (100 bp) filter, expected > 249 bp
SRX9973244	Failed mean read length (101 bp) filter, expected > 249 bp
SRX436223	Failed mean read length (100 bp) filter, expected > 249 bp
SRX11702928	Failed mean read length (150 bp) filter, expected > 249 bp;Failed base count (123250664 bp) filter, expected > 125691225 bp
SRX436222	Failed mean read length (100 bp) filter, expected > 249 bp
SRX436165	Failed mean read length (100 bp) filter, expected > 249 bp
SRX11702920	Failed mean read length (149 bp) filter, expected > 249 bp
SRX436093	Failed mean read length (100 bp) filter, expected > 249 bp
SRX11702919	Failed mean read length (149 bp) filter, expected > 249 bp
SRX436074	Failed mean read length (100 bp) filter, expected > 249 bp
SRX9973240	Failed mean read length (101 bp) filter, expected > 249 bp
SRX436041	Failed mean read length (100 bp) filter, expected > 249 bp
SRX9973239	Failed mean read length (101 bp) filter, expected > 249 bp
SRX436034	Failed mean read length (100 bp) filter, expected > 249 bp
SRX9973233	Failed mean read length (101 bp) filter, expected > 249 bp
SRX441720	Failed mean read length (100 bp) filter, expected > 249 bp
SRX9973232	Failed mean read length (101 bp) filter, expected > 249 bp
SRX441945	Failed mean read length (100 bp) filter, expected > 249 bp
SRX9973228	Failed mean read length (101 bp) filter, expected > 249 bp
SRX9973238	Failed mean read length (101 bp) filter, expected > 249 bp
SRX9973227	Failed mean read length (101 bp) filter, expected > 249 bp
SRX9973237	Failed mean read length (101 bp) filter, expected > 249 bp
SRX9973231	Failed mean read length (101 bp) filter, expected > 249 bp
ERX1873564	Failed mean read length (149 bp) filter, expected > 249 bp
SRX425138	Failed mean read length (100 bp) filter, expected > 249 bp
SRX22960378	Failed mean read length (147 bp) filter, expected > 249 bp
SRX425122	Failed mean read length (100 bp) filter, expected > 249 bp
SRX22960371	Failed mean read length (147 bp) filter, expected > 249 bp
SRX425109	Failed mean read length (100 bp) filter, expected > 249 bp
SRX23226707	Failed mean read length (159 bp) filter, expected > 249 bp
SRX8939435	Failed mean read length (150 bp) filter, expected > 249 bp
SRX3875210	Failed mean read length (243 bp) filter, expected > 249 bp
SRX9973226	Failed mean read length (101 bp) filter, expected > 249 bp
SRX3875204	Failed mean read length (241 bp) filter, expected > 249 bp
SRX3875203	Failed mean read length (241 bp) filter, expected > 249 bp
SRX3875202	Failed mean read length (240 bp) filter, expected > 249 bp
SRX22960377	Failed mean read length (147 bp) filter, expected > 249 bp
SRX22960376	Failed mean read length (147 bp) filter, expected > 249 bp
SRX22960374	Failed mean read length (147 bp) filter, expected > 249 bp
SRX22960372	Failed mean read length (146 bp) filter, expected > 249 bp
SRX22960370	Failed mean read length (148 bp) filter, expected > 249 bp
SRX22960369	Failed mean read length (146 bp) filter, expected > 249 bp
SRX3875209	Failed mean read length (242 bp) filter, expected > 249 bp
SRX4014516	Failed base count (122812816 bp) filter, expected > 125691225 bp
SRX4014485	Failed base count (125507970 bp) filter, expected > 125691225 bp
SRX4014455	Failed base count (95485026 bp) filter, expected > 125691225 bp
SRX4014440	Failed mean read length (186 bp) filter, expected > 249 bp
ERX7541941	Failed mean read length (73 bp) filter, expected > 249 bp
ERX7541943	Failed mean read length (74 bp) filter, expected > 249 bp;Failed base count (82477633 bp) filter, expected > 125691225 bp
ERX7541947	Failed mean read length (49 bp) filter, expected > 249 bp
ERX7541948	Failed mean read length (74 bp) filter, expected > 249 bp
SRX4014456	Failed mean read length (230 bp) filter, expected > 249 bp
ERX7541949	Failed mean read length (73 bp) filter, expected > 249 bp
ERX7541951	Failed mean read length (74 bp) filter, expected > 249 bp
ERX7541956	Failed mean read length (74 bp) filter, expected > 249 bp
ERX7541958	Failed mean read length (49 bp) filter, expected > 249 bp
ERX7541960	Failed mean read length (74 bp) filter, expected > 249 bp
ERX7541962	Failed mean read length (74 bp) filter, expected > 249 bp
ERX7541963	Failed mean read length (74 bp) filter, expected > 249 bp
ERX7541965	Failed mean read length (74 bp) filter, expected > 249 bp
ERX7541967	Failed mean read length (74 bp) filter, expected > 249 bp
ERX7541969	Failed mean read length (74 bp) filter, expected > 249 bp
ERX7541982	Failed mean read length (74 bp) filter, expected > 249 bp
ERX7541983	Failed mean read length (73 bp) filter, expected > 249 bp;Failed base count (90291462 bp) filter, expected > 125691225 bp
ERX7541984	Failed mean read length (74 bp) filter, expected > 249 bp
ERX7541985	Failed mean read length (74 bp) filter, expected > 249 bp
ERX7542002	Failed mean read length (74 bp) filter, expected > 249 bp
SRX4014443	Failed mean read length (235 bp) filter, expected > 249 bp
ERX1119909	Failed mean read length (191 bp) filter, expected > 249 bp
ERX1119910	Failed mean read length (223 bp) filter, expected > 249 bp
SRX4014436	Failed base count (116389476 bp) filter, expected > 125691225 bp
ERX1119913	Failed mean read length (177 bp) filter, expected > 249 bp
ERX1119919	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1119920	Failed mean read length (100 bp) filter, expected > 249 bp
SRX4014435	Failed base count (114350502 bp) filter, expected > 125691225 bp
ERX1119922	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1119929	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1119933	Failed mean read length (205 bp) filter, expected > 249 bp
ERX1119934	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1119940	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1119942	Failed mean read length (100 bp) filter, expected > 249 bp
ERX7541935	Failed mean read length (73 bp) filter, expected > 249 bp
