accession	reason
ERX1825720	Failed mean read length (150 bp) filter, expected > 249 bp
ERX1660780	Failed mean read length (163 bp) filter, expected > 249 bp
ERX2263158	Failed mean read length (149 bp) filter, expected > 249 bp
ERX1825721	Failed mean read length (213 bp) filter, expected > 249 bp
ERX1660782	Failed mean read length (194 bp) filter, expected > 249 bp
ERX2263160	Failed mean read length (149 bp) filter, expected > 249 bp
ERX1660796	Failed mean read length (207 bp) filter, expected > 249 bp
ERX1825726	Failed mean read length (204 bp) filter, expected > 249 bp
ERX2263163	Failed mean read length (148 bp) filter, expected > 249 bp
ERX1662881	Failed mean read length (150 bp) filter, expected > 249 bp
ERX2263165	Failed mean read length (149 bp) filter, expected > 249 bp
ERX1662891	Failed mean read length (150 bp) filter, expected > 249 bp
ERX1861087	Failed mean read length (97 bp) filter, expected > 249 bp
ERX2263173	Failed mean read length (146 bp) filter, expected > 249 bp
ERX1662899	Failed mean read length (150 bp) filter, expected > 249 bp
ERX2263175	Failed mean read length (149 bp) filter, expected > 249 bp
ERX1866126	Failed mean read length (97 bp) filter, expected > 249 bp
ERX1662916	Failed mean read length (150 bp) filter, expected > 249 bp
ERX2263177	Failed mean read length (143 bp) filter, expected > 249 bp
ERX1866128	Failed mean read length (97 bp) filter, expected > 249 bp
ERX1662924	Failed mean read length (150 bp) filter, expected > 249 bp
ERX2263178	Failed mean read length (149 bp) filter, expected > 249 bp
ERX1866159	Failed mean read length (97 bp) filter, expected > 249 bp
ERX1662933	Failed mean read length (150 bp) filter, expected > 249 bp
ERX2263179	Failed mean read length (148 bp) filter, expected > 249 bp
ERX1662937	Failed mean read length (150 bp) filter, expected > 249 bp
ERX1866174	Failed mean read length (97 bp) filter, expected > 249 bp
ERX2263187	Failed mean read length (147 bp) filter, expected > 249 bp
ERX1662947	Failed mean read length (150 bp) filter, expected > 249 bp
ERX1866224	Failed mean read length (97 bp) filter, expected > 249 bp
ERX2263188	Failed mean read length (148 bp) filter, expected > 249 bp
ERX1662948	Failed mean read length (150 bp) filter, expected > 249 bp
ERX1869868	Failed mean read length (97 bp) filter, expected > 249 bp
ERX2263191	Failed mean read length (148 bp) filter, expected > 249 bp
ERX1662950	Failed mean read length (150 bp) filter, expected > 249 bp
ERX1869875	Failed mean read length (97 bp) filter, expected > 249 bp
ERX2263198	Failed mean read length (146 bp) filter, expected > 249 bp
ERX1662964	Failed mean read length (150 bp) filter, expected > 249 bp
ERX1878011	Failed mean read length (98 bp) filter, expected > 249 bp
ERX1662981	Failed mean read length (150 bp) filter, expected > 249 bp
ERX2270133	Failed mean read length (99 bp) filter, expected > 249 bp
ERX1878042	Failed mean read length (98 bp) filter, expected > 249 bp
ERX1662986	Failed mean read length (150 bp) filter, expected > 249 bp
ERX2279584	Failed mean read length (99 bp) filter, expected > 249 bp
ERX1878259	Failed mean read length (98 bp) filter, expected > 249 bp
ERX1662997	Failed mean read length (150 bp) filter, expected > 249 bp
ERX2279587	Failed mean read length (99 bp) filter, expected > 249 bp
ERX1663007	Failed mean read length (150 bp) filter, expected > 249 bp
ERX1878323	Failed mean read length (98 bp) filter, expected > 249 bp
ERX2279593	Failed mean read length (99 bp) filter, expected > 249 bp
ERX1663010	Failed mean read length (150 bp) filter, expected > 249 bp
ERX1878331	Failed mean read length (98 bp) filter, expected > 249 bp
ERX2350693	Failed mean read length (99 bp) filter, expected > 249 bp
ERX1663017	Failed mean read length (150 bp) filter, expected > 249 bp
ERX1879195	Failed mean read length (98 bp) filter, expected > 249 bp
ERX2350694	Failed mean read length (99 bp) filter, expected > 249 bp
ERX1663031	Failed mean read length (150 bp) filter, expected > 249 bp
ERX1879435	Failed mean read length (99 bp) filter, expected > 249 bp
ERX204943	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1663032	Failed mean read length (150 bp) filter, expected > 249 bp
ERX1879692	Failed mean read length (98 bp) filter, expected > 249 bp
ERX204949	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1663034	Failed mean read length (150 bp) filter, expected > 249 bp
ERX1879701	Failed mean read length (98 bp) filter, expected > 249 bp
ERX204954	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1663047	Failed mean read length (150 bp) filter, expected > 249 bp
ERX1879702	Failed mean read length (98 bp) filter, expected > 249 bp
ERX204985	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1663049	Failed mean read length (150 bp) filter, expected > 249 bp
ERX205013	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1879793	Failed mean read length (98 bp) filter, expected > 249 bp
ERX1663051	Failed mean read length (150 bp) filter, expected > 249 bp
ERX207055	Failed mean read length (150 bp) filter, expected > 249 bp
ERX1663052	Failed mean read length (150 bp) filter, expected > 249 bp
ERX207062	Failed mean read length (150 bp) filter, expected > 249 bp
ERX1879910	Failed mean read length (98 bp) filter, expected > 249 bp
ERX1663073	Failed mean read length (207 bp) filter, expected > 249 bp
ERX207064	Failed mean read length (150 bp) filter, expected > 249 bp
ERX1880004	Failed mean read length (98 bp) filter, expected > 249 bp
ERX207066	Failed mean read length (150 bp) filter, expected > 249 bp
ERX1663088	Failed mean read length (174 bp) filter, expected > 249 bp
ERX209702	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1880005	Failed mean read length (98 bp) filter, expected > 249 bp
ERX209708	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1663094	Failed mean read length (172 bp) filter, expected > 249 bp
ERX209713	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1880012	Failed mean read length (97 bp) filter, expected > 249 bp
ERX209714	Failed mean read length (100 bp) filter, expected > 249 bp
ERX137245	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1880022	Failed mean read length (98 bp) filter, expected > 249 bp
ERX209719	Failed mean read length (100 bp) filter, expected > 249 bp;Failed base count (30751800 bp) filter, expected > 125691225 bp
ERX209725	Failed mean read length (100 bp) filter, expected > 249 bp
ERX137247	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1880649	Failed mean read length (98 bp) filter, expected > 249 bp
ERX209726	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1886018	Failed mean read length (98 bp) filter, expected > 249 bp
ERX137248	Failed mean read length (100 bp) filter, expected > 249 bp
ERX209727	Failed mean read length (100 bp) filter, expected > 249 bp
ERX209728	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1886021	Failed mean read length (98 bp) filter, expected > 249 bp
ERX137250	Failed mean read length (100 bp) filter, expected > 249 bp
ERX209739	Failed mean read length (100 bp) filter, expected > 249 bp
ERX209740	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1886333	Failed mean read length (97 bp) filter, expected > 249 bp
ERX137256	Failed mean read length (100 bp) filter, expected > 249 bp
ERX209743	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1886432	Failed mean read length (97 bp) filter, expected > 249 bp
ERX209744	Failed mean read length (100 bp) filter, expected > 249 bp
ERX137257	Failed mean read length (100 bp) filter, expected > 249 bp
ERX209745	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1886437	Failed mean read length (97 bp) filter, expected > 249 bp
ERX209747	Failed mean read length (100 bp) filter, expected > 249 bp
ERX137258	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1886735	Failed mean read length (98 bp) filter, expected > 249 bp
ERX209751	Failed mean read length (100 bp) filter, expected > 249 bp
ERX209757	Failed mean read length (100 bp) filter, expected > 249 bp
ERX137259	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1891751	Failed mean read length (97 bp) filter, expected > 249 bp
ERX209761	Failed mean read length (100 bp) filter, expected > 249 bp
ERX137260	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1891754	Failed mean read length (98 bp) filter, expected > 249 bp
ERX209762	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1892468	Failed mean read length (98 bp) filter, expected > 249 bp
ERX137263	Failed mean read length (100 bp) filter, expected > 249 bp
ERX209763	Failed mean read length (100 bp) filter, expected > 249 bp
ERX209764	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1894444	Failed mean read length (98 bp) filter, expected > 249 bp
ERX137264	Failed mean read length (100 bp) filter, expected > 249 bp
ERX209765	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1894446	Failed mean read length (98 bp) filter, expected > 249 bp
ERX209766	Failed mean read length (100 bp) filter, expected > 249 bp
ERX137270	Failed mean read length (100 bp) filter, expected > 249 bp
ERX209767	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1899597	Failed mean read length (98 bp) filter, expected > 249 bp
ERX209768	Failed mean read length (100 bp) filter, expected > 249 bp;Failed base count (85823000 bp) filter, expected > 125691225 bp
ERX137272	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1917960	Failed mean read length (146 bp) filter, expected > 249 bp
ERX209770	Failed mean read length (100 bp) filter, expected > 249 bp
ERX137276	Failed mean read length (100 bp) filter, expected > 249 bp
ERX209771	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1917965	Failed mean read length (148 bp) filter, expected > 249 bp
ERX209772	Failed mean read length (100 bp) filter, expected > 249 bp
ERX137288	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1917971	Failed mean read length (148 bp) filter, expected > 249 bp
ERX209774	Failed mean read length (100 bp) filter, expected > 249 bp
ERX209776	Failed mean read length (100 bp) filter, expected > 249 bp
ERX137289	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1917973	Failed mean read length (148 bp) filter, expected > 249 bp
ERX209777	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1917974	Failed mean read length (148 bp) filter, expected > 249 bp
ERX137290	Failed mean read length (100 bp) filter, expected > 249 bp
ERX209778	Failed mean read length (100 bp) filter, expected > 249 bp
ERX209780	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1917976	Failed mean read length (141 bp) filter, expected > 249 bp
ERX137292	Failed mean read length (100 bp) filter, expected > 249 bp
ERX209784	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1917978	Failed mean read length (148 bp) filter, expected > 249 bp
ERX209790	Failed mean read length (100 bp) filter, expected > 249 bp
ERX137296	Failed mean read length (100 bp) filter, expected > 249 bp
ERX209791	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1917983	Failed mean read length (146 bp) filter, expected > 249 bp
ERX209871	Failed mean read length (100 bp) filter, expected > 249 bp
ERX137301	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1917988	Failed mean read length (147 bp) filter, expected > 249 bp
ERX209872	Failed mean read length (100 bp) filter, expected > 249 bp
ERX137303	Failed mean read length (100 bp) filter, expected > 249 bp
ERX209874	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1917994	Failed mean read length (148 bp) filter, expected > 249 bp
ERX209876	Failed mean read length (100 bp) filter, expected > 249 bp
ERX137304	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1917997	Failed mean read length (148 bp) filter, expected > 249 bp
ERX209881	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1918002	Failed mean read length (148 bp) filter, expected > 249 bp
ERX137803	Failed mean read length (100 bp) filter, expected > 249 bp
ERX209884	Failed mean read length (100 bp) filter, expected > 249 bp
ERX2437343	Failed mean read length (75 bp) filter, expected > 249 bp
ERX1918005	Failed mean read length (148 bp) filter, expected > 249 bp
ERX137804	Failed mean read length (100 bp) filter, expected > 249 bp
ERX2437345	Failed mean read length (75 bp) filter, expected > 249 bp
ERX1918006	Failed mean read length (148 bp) filter, expected > 249 bp
ERX2437346	Failed mean read length (75 bp) filter, expected > 249 bp
ERX137805	Failed mean read length (100 bp) filter, expected > 249 bp
ERX2437358	Failed mean read length (75 bp) filter, expected > 249 bp
ERX1918010	Failed mean read length (148 bp) filter, expected > 249 bp
ERX2437363	Failed mean read length (75 bp) filter, expected > 249 bp
ERX137808	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1918015	Failed mean read length (148 bp) filter, expected > 249 bp
ERX2437365	Failed mean read length (75 bp) filter, expected > 249 bp
ERX137809	Failed mean read length (100 bp) filter, expected > 249 bp
ERX2437368	Failed mean read length (75 bp) filter, expected > 249 bp
ERX1918019	Failed mean read length (149 bp) filter, expected > 249 bp
ERX2437369	Failed mean read length (75 bp) filter, expected > 249 bp
ERX137811	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1918021	Failed mean read length (149 bp) filter, expected > 249 bp
ERX2437371	Failed mean read length (75 bp) filter, expected > 249 bp
ERX2437380	Failed mean read length (75 bp) filter, expected > 249 bp
ERX1918031	Failed mean read length (147 bp) filter, expected > 249 bp
ERX137813	Failed mean read length (100 bp) filter, expected > 249 bp
ERX2437450	Failed mean read length (75 bp) filter, expected > 249 bp
ERX1919130	Failed mean read length (98 bp) filter, expected > 249 bp
ERX137818	Failed mean read length (100 bp) filter, expected > 249 bp
ERX2437451	Failed mean read length (75 bp) filter, expected > 249 bp
ERX2437453	Failed mean read length (75 bp) filter, expected > 249 bp
ERX1919133	Failed mean read length (98 bp) filter, expected > 249 bp
ERX137819	Failed mean read length (100 bp) filter, expected > 249 bp
ERX2437460	Failed mean read length (75 bp) filter, expected > 249 bp
ERX1919134	Failed mean read length (99 bp) filter, expected > 249 bp
ERX2437467	Failed mean read length (75 bp) filter, expected > 249 bp
ERX2437471	Failed mean read length (75 bp) filter, expected > 249 bp
ERX1919208	Failed mean read length (99 bp) filter, expected > 249 bp
ERX137822	Failed mean read length (100 bp) filter, expected > 249 bp
ERX2437477	Failed mean read length (75 bp) filter, expected > 249 bp
ERX1926100	Failed mean read length (96 bp) filter, expected > 249 bp
ERX137826	Failed mean read length (100 bp) filter, expected > 249 bp
ERX2437479	Failed mean read length (75 bp) filter, expected > 249 bp
ERX2014081	Failed mean read length (95 bp) filter, expected > 249 bp
ERX137827	Failed mean read length (100 bp) filter, expected > 249 bp
ERX2437486	Failed mean read length (75 bp) filter, expected > 249 bp
ERX2014082	Failed mean read length (95 bp) filter, expected > 249 bp
ERX137829	Failed mean read length (100 bp) filter, expected > 249 bp
ERX2437490	Failed mean read length (75 bp) filter, expected > 249 bp;Failed base count (62112038 bp) filter, expected > 125691225 bp
ERX2061617	Failed mean read length (97 bp) filter, expected > 249 bp
ERX137830	Failed mean read length (100 bp) filter, expected > 249 bp
ERX2437502	Failed mean read length (75 bp) filter, expected > 249 bp
ERX140657	Failed mean read length (100 bp) filter, expected > 249 bp
ERX2079993	Failed mean read length (92 bp) filter, expected > 249 bp
ERX2437506	Failed mean read length (75 bp) filter, expected > 249 bp
ERX140659	Failed mean read length (100 bp) filter, expected > 249 bp
ERX2082265	Failed mean read length (94 bp) filter, expected > 249 bp
ERX140660	Failed mean read length (100 bp) filter, expected > 249 bp
ERX2437513	Failed mean read length (75 bp) filter, expected > 249 bp
ERX2082324	Failed mean read length (97 bp) filter, expected > 249 bp
ERX140664	Failed mean read length (100 bp) filter, expected > 249 bp
ERX2089313	Failed mean read length (96 bp) filter, expected > 249 bp
ERX2437519	Failed mean read length (75 bp) filter, expected > 249 bp;Failed base count (24513944 bp) filter, expected > 125691225 bp
ERX140665	Failed mean read length (100 bp) filter, expected > 249 bp
ERX178918	Missing FASTQs
ERX2437521	Failed mean read length (75 bp) filter, expected > 249 bp;Failed base count (24958186 bp) filter, expected > 125691225 bp
ERX140666	Failed mean read length (100 bp) filter, expected > 249 bp
ERX178919	Missing FASTQs
ERX2437528	Failed mean read length (75 bp) filter, expected > 249 bp;Failed base count (30746016 bp) filter, expected > 125691225 bp
ERX140670	Failed mean read length (100 bp) filter, expected > 249 bp
ERX178921	Missing FASTQs
ERX2437529	Failed mean read length (75 bp) filter, expected > 249 bp;Failed base count (49384550 bp) filter, expected > 125691225 bp
ERX140671	Failed mean read length (100 bp) filter, expected > 249 bp
ERX140674	Failed mean read length (100 bp) filter, expected > 249 bp
ERX178925	Missing FASTQs
ERX2611131	Failed mean read length (146 bp) filter, expected > 249 bp
ERX140675	Failed mean read length (100 bp) filter, expected > 249 bp
ERX2634438	Failed mean read length (206 bp) filter, expected > 249 bp;Failed base count (105315790 bp) filter, expected > 125691225 bp
ERX2131047	Failed mean read length (99 bp) filter, expected > 249 bp
ERX140679	Failed mean read length (100 bp) filter, expected > 249 bp
ERX2634440	Failed mean read length (227 bp) filter, expected > 249 bp
ERX2131049	Failed mean read length (94 bp) filter, expected > 249 bp
ERX140682	Failed mean read length (100 bp) filter, expected > 249 bp
ERX2634443	Failed mean read length (237 bp) filter, expected > 249 bp
ERX2171659	Failed mean read length (99 bp) filter, expected > 249 bp
ERX140685	Failed mean read length (100 bp) filter, expected > 249 bp
ERX2634447	Failed mean read length (234 bp) filter, expected > 249 bp
ERX2172508	Failed mean read length (99 bp) filter, expected > 249 bp
ERX140688	Failed mean read length (100 bp) filter, expected > 249 bp
ERX2634448	Failed mean read length (242 bp) filter, expected > 249 bp
ERX140689	Failed mean read length (100 bp) filter, expected > 249 bp
ERX2172926	Failed mean read length (99 bp) filter, expected > 249 bp
ERX2634452	Failed mean read length (226 bp) filter, expected > 249 bp
ERX140690	Failed mean read length (100 bp) filter, expected > 249 bp
ERX2172929	Failed mean read length (98 bp) filter, expected > 249 bp
ERX2634453	Failed mean read length (195 bp) filter, expected > 249 bp
ERX140692	Failed mean read length (100 bp) filter, expected > 249 bp
ERX2172931	Failed mean read length (99 bp) filter, expected > 249 bp
ERX2634454	Failed mean read length (229 bp) filter, expected > 249 bp
ERX140695	Failed mean read length (100 bp) filter, expected > 249 bp
ERX2172932	Failed mean read length (99 bp) filter, expected > 249 bp
ERX2634457	Failed mean read length (227 bp) filter, expected > 249 bp
ERX146470	Failed mean read length (100 bp) filter, expected > 249 bp
ERX2173576	Failed mean read length (99 bp) filter, expected > 249 bp
ERX2634461	Failed mean read length (228 bp) filter, expected > 249 bp
ERX146471	Failed mean read length (100 bp) filter, expected > 249 bp
ERX186509	Failed mean read length (100 bp) filter, expected > 249 bp
ERX2634465	Failed mean read length (194 bp) filter, expected > 249 bp
ERX146481	Failed mean read length (100 bp) filter, expected > 249 bp
ERX186511	Failed mean read length (100 bp) filter, expected > 249 bp
ERX146485	Failed mean read length (100 bp) filter, expected > 249 bp
ERX2634466	Failed mean read length (200 bp) filter, expected > 249 bp
ERX186513	Failed mean read length (100 bp) filter, expected > 249 bp
ERX146486	Failed mean read length (100 bp) filter, expected > 249 bp
ERX2634471	Failed mean read length (217 bp) filter, expected > 249 bp
ERX186522	Failed mean read length (100 bp) filter, expected > 249 bp
ERX146487	Failed mean read length (100 bp) filter, expected > 249 bp
ERX2634472	Failed mean read length (225 bp) filter, expected > 249 bp
ERX186523	Failed mean read length (100 bp) filter, expected > 249 bp
ERX146488	Failed mean read length (100 bp) filter, expected > 249 bp
ERX2666949	Failed mean read length (75 bp) filter, expected > 249 bp
ERX186527	Failed mean read length (100 bp) filter, expected > 249 bp
ERX146490	Failed mean read length (100 bp) filter, expected > 249 bp
ERX2666951	Failed mean read length (75 bp) filter, expected > 249 bp
ERX186528	Failed mean read length (100 bp) filter, expected > 249 bp
ERX146492	Failed mean read length (100 bp) filter, expected > 249 bp
ERX186536	Failed mean read length (100 bp) filter, expected > 249 bp
ERX2666952	Failed mean read length (75 bp) filter, expected > 249 bp
ERX146495	Failed mean read length (100 bp) filter, expected > 249 bp
ERX186539	Failed mean read length (100 bp) filter, expected > 249 bp
ERX2666956	Failed mean read length (75 bp) filter, expected > 249 bp
ERX146498	Failed mean read length (100 bp) filter, expected > 249 bp
ERX186540	Failed mean read length (100 bp) filter, expected > 249 bp
ERX146503	Failed mean read length (100 bp) filter, expected > 249 bp
ERX2666957	Failed mean read length (75 bp) filter, expected > 249 bp
ERX186541	Failed mean read length (100 bp) filter, expected > 249 bp
ERX146509	Failed mean read length (100 bp) filter, expected > 249 bp
ERX2666958	Failed mean read length (75 bp) filter, expected > 249 bp
ERX186542	Failed mean read length (100 bp) filter, expected > 249 bp
ERX146514	Failed mean read length (100 bp) filter, expected > 249 bp
ERX2666960	Failed mean read length (75 bp) filter, expected > 249 bp
ERX186544	Failed mean read length (100 bp) filter, expected > 249 bp
ERX146523	Failed mean read length (100 bp) filter, expected > 249 bp
ERX2666967	Failed mean read length (75 bp) filter, expected > 249 bp
ERX186549	Failed mean read length (100 bp) filter, expected > 249 bp
ERX146525	Failed mean read length (100 bp) filter, expected > 249 bp
ERX2666969	Failed mean read length (75 bp) filter, expected > 249 bp
ERX146526	Failed mean read length (100 bp) filter, expected > 249 bp
ERX186550	Failed mean read length (100 bp) filter, expected > 249 bp
ERX146527	Failed mean read length (100 bp) filter, expected > 249 bp
ERX2666975	Failed mean read length (75 bp) filter, expected > 249 bp
ERX186551	Failed mean read length (100 bp) filter, expected > 249 bp
ERX146534	Failed mean read length (100 bp) filter, expected > 249 bp
ERX2666976	Failed mean read length (75 bp) filter, expected > 249 bp
ERX187176	Failed mean read length (100 bp) filter, expected > 249 bp
ERX146535	Failed mean read length (100 bp) filter, expected > 249 bp
ERX2666979	Failed mean read length (75 bp) filter, expected > 249 bp
ERX187180	Failed mean read length (100 bp) filter, expected > 249 bp
ERX146543	Failed mean read length (100 bp) filter, expected > 249 bp
ERX2666986	Failed mean read length (75 bp) filter, expected > 249 bp
ERX187186	Failed mean read length (100 bp) filter, expected > 249 bp
ERX146548	Failed mean read length (100 bp) filter, expected > 249 bp
ERX2666989	Failed mean read length (75 bp) filter, expected > 249 bp
ERX187187	Failed mean read length (100 bp) filter, expected > 249 bp
ERX146550	Failed mean read length (100 bp) filter, expected > 249 bp
ERX2666992	Failed mean read length (75 bp) filter, expected > 249 bp
ERX187195	Failed mean read length (100 bp) filter, expected > 249 bp
ERX146553	Failed mean read length (100 bp) filter, expected > 249 bp
ERX146555	Failed mean read length (100 bp) filter, expected > 249 bp
ERX2666997	Failed mean read length (75 bp) filter, expected > 249 bp
ERX187197	Failed mean read length (100 bp) filter, expected > 249 bp
ERX146556	Failed mean read length (100 bp) filter, expected > 249 bp
ERX2667004	Failed mean read length (75 bp) filter, expected > 249 bp;Failed base count (35020524 bp) filter, expected > 125691225 bp
ERX187198	Failed mean read length (100 bp) filter, expected > 249 bp
ERX146558	Failed mean read length (100 bp) filter, expected > 249 bp
ERX2667007	Failed mean read length (75 bp) filter, expected > 249 bp
ERX187199	Failed mean read length (100 bp) filter, expected > 249 bp
ERX146559	Failed mean read length (100 bp) filter, expected > 249 bp
ERX2667016	Failed mean read length (75 bp) filter, expected > 249 bp
ERX187212	Failed mean read length (100 bp) filter, expected > 249 bp
ERX146561	Failed mean read length (100 bp) filter, expected > 249 bp
ERX2667017	Failed mean read length (75 bp) filter, expected > 249 bp
ERX187214	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1805658	Failed mean read length (35 bp) filter, expected > 249 bp
ERX2667020	Failed mean read length (75 bp) filter, expected > 249 bp
ERX187217	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1805660	Failed mean read length (35 bp) filter, expected > 249 bp
ERX2667021	Failed mean read length (75 bp) filter, expected > 249 bp
ERX187221	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1805661	Failed mean read length (35 bp) filter, expected > 249 bp
ERX2667024	Failed mean read length (75 bp) filter, expected > 249 bp
ERX187224	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1805668	Failed mean read length (35 bp) filter, expected > 249 bp
ERX2667029	Failed mean read length (75 bp) filter, expected > 249 bp
ERX1805670	Failed mean read length (35 bp) filter, expected > 249 bp
ERX187225	Failed mean read length (100 bp) filter, expected > 249 bp
ERX2667031	Failed mean read length (75 bp) filter, expected > 249 bp
ERX1805671	Failed mean read length (35 bp) filter, expected > 249 bp
ERX187226	Failed mean read length (100 bp) filter, expected > 249 bp
ERX2667035	Failed mean read length (75 bp) filter, expected > 249 bp
ERX1825697	Failed mean read length (233 bp) filter, expected > 249 bp
ERX187231	Failed mean read length (100 bp) filter, expected > 249 bp
ERX2667036	Failed mean read length (75 bp) filter, expected > 249 bp
ERX1861094	Failed mean read length (97 bp) filter, expected > 249 bp
ERX187234	Failed mean read length (100 bp) filter, expected > 249 bp
ERX2667038	Failed mean read length (75 bp) filter, expected > 249 bp
ERX1866163	Failed mean read length (97 bp) filter, expected > 249 bp
ERX187241	Failed mean read length (100 bp) filter, expected > 249 bp
ERX2667039	Failed mean read length (75 bp) filter, expected > 249 bp;Failed base count (4112032 bp) filter, expected > 125691225 bp
ERX1866164	Failed mean read length (97 bp) filter, expected > 249 bp
ERX2667044	Failed mean read length (75 bp) filter, expected > 249 bp
ERX187243	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1866166	Failed mean read length (97 bp) filter, expected > 249 bp
ERX2667046	Failed mean read length (75 bp) filter, expected > 249 bp
ERX187256	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1866168	Failed mean read length (97 bp) filter, expected > 249 bp
ERX2667050	Failed mean read length (75 bp) filter, expected > 249 bp
ERX187257	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1866217	Failed mean read length (97 bp) filter, expected > 249 bp
ERX2667052	Failed mean read length (75 bp) filter, expected > 249 bp
ERX187260	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1866220	Failed mean read length (97 bp) filter, expected > 249 bp
ERX2667053	Failed mean read length (75 bp) filter, expected > 249 bp
ERX187261	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1869871	Failed mean read length (97 bp) filter, expected > 249 bp
ERX2667059	Failed mean read length (75 bp) filter, expected > 249 bp
ERX187263	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1869873	Failed mean read length (97 bp) filter, expected > 249 bp
ERX2667064	Failed mean read length (75 bp) filter, expected > 249 bp
ERX187264	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1869874	Failed mean read length (97 bp) filter, expected > 249 bp
ERX2667072	Failed mean read length (75 bp) filter, expected > 249 bp;Failed base count (912342 bp) filter, expected > 125691225 bp
ERX187271	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1873383	Failed mean read length (97 bp) filter, expected > 249 bp
ERX2667077	Failed mean read length (75 bp) filter, expected > 249 bp
ERX187276	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1873389	Failed mean read length (97 bp) filter, expected > 249 bp
ERX2667080	Failed mean read length (75 bp) filter, expected > 249 bp;Failed base count (9013794 bp) filter, expected > 125691225 bp
ERX187277	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1878008	Failed mean read length (98 bp) filter, expected > 249 bp
ERX2667081	Failed mean read length (75 bp) filter, expected > 249 bp
ERX187278	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1878047	Failed mean read length (98 bp) filter, expected > 249 bp
ERX2667089	Failed mean read length (75 bp) filter, expected > 249 bp
ERX187288	Failed mean read length (100 bp) filter, expected > 249 bp
ERX1878248	Failed mean read length (98 bp) filter, expected > 249 bp
ERX2667090	Failed mean read length (75 bp) filter, expected > 249 bp
ERX1878250	Failed mean read length (98 bp) filter, expected > 249 bp
ERX187296	Failed mean read length (100 bp) filter, expected > 249 bp
ERX2667093	Failed mean read length (75 bp) filter, expected > 249 bp
ERX1878260	Failed mean read length (98 bp) filter, expected > 249 bp
ERX187306	Failed mean read length (100 bp) filter, expected > 249 bp
ERX2667101	Failed mean read length (75 bp) filter, expected > 249 bp
ERX1878324	Failed mean read length (98 bp) filter, expected > 249 bp
ERX187315	Failed mean read length (100 bp) filter, expected > 249 bp
ERX2667103	Failed mean read length (75 bp) filter, expected > 249 bp
ERX1878326	Failed mean read length (98 bp) filter, expected > 249 bp
ERX187328	Failed mean read length (100 bp) filter, expected > 249 bp
ERX2667105	Failed mean read length (75 bp) filter, expected > 249 bp
ERX1878329	Failed mean read length (98 bp) filter, expected > 249 bp
ERX187333	Failed mean read length (100 bp) filter, expected > 249 bp
ERX2667106	Failed mean read length (75 bp) filter, expected > 249 bp
ERX1879199	Failed mean read length (97 bp) filter, expected > 249 bp
